filename,height_px,width_px,filesize_kb,dominant_color_hex,average_contrast,average_brightness,source,folder
10087.jpg,424,424,16,#070804,11.2688,7.4432,Galaxy Zoo 2,elliptical
100894.jpg,424,424,9,#070807,17.5259,7.7689,Galaxy Zoo 2,elliptical
100922.jpg,424,424,9,#0a0805,20.0759,8.9476,Galaxy Zoo 2,elliptical
100947.jpg,424,424,8,#0f0d08,26.384,13.4764,Galaxy Zoo 2,elliptical
100958.jpg,424,424,12,#0c0a08,22.1345,10.6124,Galaxy Zoo 2,elliptical
10099.jpg,424,424,10,#0c0b08,20.858,11.4152,Galaxy Zoo 2,elliptical
101037.jpg,424,424,13,#0a0805,14.9745,8.8577,Galaxy Zoo 2,elliptical
101051.jpg,424,424,10,#070704,15.7554,7.1375,Galaxy Zoo 2,elliptical
101096.jpg,424,424,15,#171310,29.9745,20.3655,Galaxy Zoo 2,elliptical
10111.jpg,424,424,12,#0a0a06,17.3876,9.8365,Galaxy Zoo 2,elliptical
101137.jpg,424,424,10,#0e0c07,24.1073,12.427,Galaxy Zoo 2,elliptical
101169.jpg,424,424,13,#060503,12.5748,5.7614,Galaxy Zoo 2,elliptical
101173.jpg,424,424,8,#080705,19.781,7.8538,Galaxy Zoo 2,elliptical
101212.jpg,424,424,10,#0c0a07,20.8572,10.6739,Galaxy Zoo 2,elliptical
101241.jpg,424,424,17,#0b0906,19.6368,10.1188,Galaxy Zoo 2,elliptical
101319.jpg,424,424,12,#0c0907,18.7377,9.9848,Galaxy Zoo 2,elliptical
101320.jpg,424,424,9,#0c0b07,24.2016,11.4198,Galaxy Zoo 2,elliptical
101372.jpg,424,424,9,#0b0907,21.2131,10.0158,Galaxy Zoo 2,elliptical
101373.jpg,424,424,12,#0c0a07,20.3606,11.0622,Galaxy Zoo 2,elliptical
101379.jpg,424,424,14,#080603,13.4413,6.8961,Galaxy Zoo 2,elliptical
101392.jpg,424,424,10,#0a0806,19.9722,9.139,Galaxy Zoo 2,elliptical
101415.jpg,424,424,14,#070706,14.5665,7.5881,Galaxy Zoo 2,elliptical
101449.jpg,424,424,14,#090905,16.459,8.7564,Galaxy Zoo 2,elliptical
10146.jpg,424,424,14,#16110e,26.9172,18.5268,Galaxy Zoo 2,elliptical
101464.jpg,424,424,12,#0e0d0a,26.4028,13.2969,Galaxy Zoo 2,elliptical
101474.jpg,424,424,13,#0b0a06,16.8152,10.2746,Galaxy Zoo 2,elliptical
101510.jpg,424,424,19,#0c0a06,15.4377,10.3784,Galaxy Zoo 2,elliptical
101572.jpg,424,424,10,#0f0c08,23.1072,13.0367,Galaxy Zoo 2,elliptical
101595.jpg,424,424,12,#070603,12.669,6.5474,Galaxy Zoo 2,elliptical
101606.jpg,424,424,12,#0b0a07,21.2016,10.6126,Galaxy Zoo 2,elliptical
101617.jpg,424,424,17,#0c0b07,19.9873,11.2094,Galaxy Zoo 2,elliptical
101619.jpg,424,424,17,#080704,12.2327,7.6037,Galaxy Zoo 2,elliptical
101626.jpg,424,424,15,#0c0a05,15.5707,10.4088,Galaxy Zoo 2,elliptical
101634.jpg,424,424,11,#090a09,20.9692,10.2024,Galaxy Zoo 2,elliptical
101643.jpg,424,424,16,#0a0805,13.079,8.6452,Galaxy Zoo 2,elliptical
101663.jpg,424,424,15,#13100b,24.7931,16.7856,Galaxy Zoo 2,elliptical
101693.jpg,424,424,11,#0a0a06,17.745,10.0673,Galaxy Zoo 2,elliptical
101747.jpg,424,424,15,#0c0a06,19.4676,10.4308,Galaxy Zoo 2,elliptical
101777.jpg,424,424,9,#120f0a,24.9138,15.8497,Galaxy Zoo 2,elliptical
101784.jpg,424,424,14,#110906,16.0031,11.4567,Galaxy Zoo 2,elliptical
10180.jpg,424,424,13,#1b1813,31.98,24.8514,Galaxy Zoo 2,elliptical
101814.jpg,424,424,13,#070704,13.5209,6.9867,Galaxy Zoo 2,elliptical
101856.jpg,424,424,13,#170e0d,20.4751,17.0025,Galaxy Zoo 2,elliptical
101862.jpg,424,424,11,#120e09,23.9604,15.4159,Galaxy Zoo 2,elliptical
101928.jpg,424,424,12,#0c0c08,23.6126,11.9448,Galaxy Zoo 2,elliptical
101932.jpg,424,424,11,#0c0a07,18.8953,10.9291,Galaxy Zoo 2,elliptical
101934.jpg,424,424,16,#0e0905,13.9097,10.6027,Galaxy Zoo 2,elliptical
101951.jpg,424,424,12,#0e0c09,26.6192,13.1388,Galaxy Zoo 2,elliptical
101976.jpg,424,424,19,#0c0a07,18.4436,10.6866,Galaxy Zoo 2,elliptical
101982.jpg,424,424,17,#0c0806,16.1127,9.5334,Galaxy Zoo 2,elliptical
101991.jpg,424,424,10,#0c0b06,21.5864,11.2405,Galaxy Zoo 2,elliptical
101998.jpg,424,424,10,#0d0b06,20.0347,11.2779,Galaxy Zoo 2,elliptical
102000.jpg,424,424,13,#0e0d09,22.5967,13.2298,Galaxy Zoo 2,elliptical
102039.jpg,424,424,14,#0f0a06,18.2264,11.5292,Galaxy Zoo 2,elliptical
102056.jpg,424,424,13,#130d0b,24.0455,15.1427,Galaxy Zoo 2,elliptical
102151.jpg,424,424,13,#070704,14.6603,7.3353,Galaxy Zoo 2,elliptical
102179.jpg,424,424,8,#060604,16.1223,6.5153,Galaxy Zoo 2,elliptical
102199.jpg,424,424,15,#0b0906,16.9403,9.7943,Galaxy Zoo 2,elliptical
102201.jpg,424,424,14,#090705,15.2002,7.8126,Galaxy Zoo 2,elliptical
102256.jpg,424,424,14,#070604,13.2836,6.873,Galaxy Zoo 2,elliptical
10228.jpg,424,424,15,#090906,15.7302,9.2957,Galaxy Zoo 2,elliptical
102303.jpg,424,424,12,#0c0905,15.8495,9.9759,Galaxy Zoo 2,elliptical
10237.jpg,424,424,12,#0e0b07,20.5139,11.5945,Galaxy Zoo 2,elliptical
102381.jpg,424,424,15,#110b08,19.8087,12.9202,Galaxy Zoo 2,elliptical
102427.jpg,424,424,14,#0a0805,18.081,8.3841,Galaxy Zoo 2,elliptical
102433.jpg,424,424,10,#0d0a07,21.2413,10.9982,Galaxy Zoo 2,elliptical
102435.jpg,424,424,10,#0d0a06,20.8379,11.2463,Galaxy Zoo 2,elliptical
10244.jpg,424,424,16,#0d0c09,19.12,12.0231,Galaxy Zoo 2,elliptical
10249.jpg,424,424,11,#0c0c08,21.5407,12.1581,Galaxy Zoo 2,elliptical
102518.jpg,424,424,10,#090905,19.8499,9.0352,Galaxy Zoo 2,elliptical
102521.jpg,424,424,10,#100c07,22.3075,13.0992,Galaxy Zoo 2,elliptical
102526.jpg,424,424,13,#0a0804,16.5405,8.4472,Galaxy Zoo 2,elliptical
102574.jpg,424,424,13,#090705,18.0571,8.0712,Galaxy Zoo 2,elliptical
102589.jpg,424,424,8,#0f0c07,25.2132,12.862,Galaxy Zoo 2,elliptical
10261.jpg,424,424,14,#0c0c08,20.7639,11.9873,Galaxy Zoo 2,elliptical
102615.jpg,424,424,9,#090909,20.1736,9.8754,Galaxy Zoo 2,elliptical
102636.jpg,424,424,19,#0b0d0a,17.3376,12.2248,Galaxy Zoo 2,elliptical
102644.jpg,424,424,10,#0a0804,17.9441,8.7701,Galaxy Zoo 2,elliptical
10265.jpg,424,424,11,#0d0b08,20.3489,11.8382,Galaxy Zoo 2,elliptical
102656.jpg,424,424,12,#0b0906,19.5453,9.6666,Galaxy Zoo 2,elliptical
102763.jpg,424,424,10,#0c0906,20.1844,10.4621,Galaxy Zoo 2,elliptical
102801.jpg,424,424,14,#0a0704,13.8838,8.2418,Galaxy Zoo 2,elliptical
102809.jpg,424,424,12,#090805,14.697,8.6015,Galaxy Zoo 2,elliptical
102852.jpg,424,424,18,#0b0a07,19.7521,10.2435,Galaxy Zoo 2,elliptical
102856.jpg,424,424,11,#0a0a06,17.1392,9.7665,Galaxy Zoo 2,elliptical
102883.jpg,424,424,13,#080905,16.6591,8.7448,Galaxy Zoo 2,elliptical
102890.jpg,424,424,10,#11100c,25.8751,16.1253,Galaxy Zoo 2,elliptical
102891.jpg,424,424,14,#0e0a06,17.2902,11.3143,Galaxy Zoo 2,elliptical
102897.jpg,424,424,15,#0e0b08,20.5491,12.1379,Galaxy Zoo 2,elliptical
102903.jpg,424,424,10,#181611,34.8702,22.5205,Galaxy Zoo 2,elliptical
102914.jpg,424,424,19,#0a0905,15.3447,9.2981,Galaxy Zoo 2,elliptical
102927.jpg,424,424,8,#0e0c0a,24.975,12.7706,Galaxy Zoo 2,elliptical
102948.jpg,424,424,13,#0b0a08,20.0523,10.7201,Galaxy Zoo 2,elliptical
102955.jpg,424,424,11,#0b0905,17.9142,9.5161,Galaxy Zoo 2,elliptical
102974.jpg,424,424,10,#0d0c08,22.3204,12.4026,Galaxy Zoo 2,elliptical
102992.jpg,424,424,14,#0d0a07,18.8286,11.1943,Galaxy Zoo 2,elliptical
102996.jpg,424,424,12,#080805,17.0819,7.9909,Galaxy Zoo 2,elliptical
103046.jpg,424,424,11,#0e0a06,18.4956,10.8896,Galaxy Zoo 2,elliptical
103107.jpg,424,424,19,#0e0b08,22.8386,12.2039,Galaxy Zoo 2,elliptical
103150.jpg,424,424,10,#0c0d08,26.4878,12.6156,Galaxy Zoo 2,elliptical
103160.jpg,424,424,15,#1e110e,23.3851,20.8357,Galaxy Zoo 2,elliptical
103233.jpg,424,424,10,#14140f,29.2619,19.644,Galaxy Zoo 2,elliptical
103266.jpg,424,424,12,#0e0d08,21.5172,13.2763,Galaxy Zoo 2,elliptical
103268.jpg,424,424,12,#080805,17.4243,8.1675,Galaxy Zoo 2,elliptical
103325.jpg,424,424,16,#0a0906,16.9475,9.3591,Galaxy Zoo 2,elliptical
103377.jpg,424,424,12,#0b0a06,17.6739,10.2108,Galaxy Zoo 2,elliptical
10353.jpg,424,424,13,#0f0d09,21.0669,13.6317,Galaxy Zoo 2,elliptical
103567.jpg,424,424,12,#080704,13.9282,7.3661,Galaxy Zoo 2,elliptical
103583.jpg,424,424,15,#080805,16.9753,8.3589,Galaxy Zoo 2,elliptical
103589.jpg,424,424,10,#080704,15.694,7.7184,Galaxy Zoo 2,elliptical
103609.jpg,424,424,13,#0c0b09,18.8718,11.8641,Galaxy Zoo 2,elliptical
103617.jpg,424,424,18,#100d08,21.2673,13.9609,Galaxy Zoo 2,elliptical
103649.jpg,424,424,9,#070805,16.8446,7.8395,Galaxy Zoo 2,elliptical
103690.jpg,424,424,14,#090805,15.9243,8.4764,Galaxy Zoo 2,elliptical
103742.jpg,424,424,10,#090905,18.3538,9.1406,Galaxy Zoo 2,elliptical
10375.jpg,424,424,15,#0b0b07,19.9707,11.4024,Galaxy Zoo 2,elliptical
103754.jpg,424,424,10,#0a0804,16.5985,8.8601,Galaxy Zoo 2,elliptical
103779.jpg,424,424,11,#0b0a06,19.3765,10.2698,Galaxy Zoo 2,elliptical
103820.jpg,424,424,11,#1b140e,32.8294,21.6017,Galaxy Zoo 2,elliptical
103879.jpg,424,424,12,#060603,12.0356,6.0503,Galaxy Zoo 2,elliptical
103884.jpg,424,424,14,#0d0b09,20.638,11.8842,Galaxy Zoo 2,elliptical
103895.jpg,424,424,13,#0a0906,18.2907,9.4189,Galaxy Zoo 2,elliptical
103907.jpg,424,424,11,#0a0a06,22.1297,10.2225,Galaxy Zoo 2,elliptical
10392.jpg,424,424,15,#0e0b08,19.2507,12.0423,Galaxy Zoo 2,elliptical
103928.jpg,424,424,13,#0b0807,15.5551,9.4481,Galaxy Zoo 2,elliptical
103939.jpg,424,424,18,#130e08,22.3568,15.0449,Galaxy Zoo 2,elliptical
104025.jpg,424,424,10,#0d0c09,22.1712,12.6606,Galaxy Zoo 2,elliptical
10404.jpg,424,424,13,#14110b,28.7921,17.9907,Galaxy Zoo 2,elliptical
104040.jpg,424,424,9,#0b0a0c,23.1433,10.9509,Galaxy Zoo 2,elliptical
104051.jpg,424,424,10,#0c0b08,20.1271,11.175,Galaxy Zoo 2,elliptical
104053.jpg,424,424,9,#070704,16.998,7.0334,Galaxy Zoo 2,elliptical
104054.jpg,424,424,19,#0a0906,15.3503,9.2506,Galaxy Zoo 2,elliptical
104091.jpg,424,424,9,#100e09,25.223,14.2035,Galaxy Zoo 2,elliptical
104110.jpg,424,424,10,#110c08,21.6397,13.7182,Galaxy Zoo 2,elliptical
10446.jpg,424,424,14,#070805,13.5039,7.8906,Galaxy Zoo 2,elliptical
10498.jpg,424,424,16,#0d0b07,17.3927,11.8164,Galaxy Zoo 2,elliptical
105397.jpg,424,424,10,#080805,17.2734,8.1226,Galaxy Zoo 2,elliptical
105417.jpg,424,424,13,#100f0e,27.897,15.7267,Galaxy Zoo 2,elliptical
105421.jpg,424,424,15,#0d0c06,17.2272,11.7951,Galaxy Zoo 2,elliptical
105461.jpg,424,424,14,#0d0b07,20.0799,11.7103,Galaxy Zoo 2,elliptical
105471.jpg,424,424,11,#0b0c07,21.551,11.5881,Galaxy Zoo 2,elliptical
105488.jpg,424,424,15,#090a05,15.0725,9.8145,Galaxy Zoo 2,elliptical
105507.jpg,424,424,11,#0f0b09,22.5835,12.5974,Galaxy Zoo 2,elliptical
10551.jpg,424,424,19,#070804,11.805,7.656,Galaxy Zoo 2,elliptical
105514.jpg,424,424,11,#0b0c08,20.718,11.4406,Galaxy Zoo 2,elliptical
105525.jpg,424,424,18,#0c0b07,16.9458,11.3932,Galaxy Zoo 2,elliptical
105546.jpg,424,424,13,#0f0c08,20.7761,12.8201,Galaxy Zoo 2,elliptical
105596.jpg,424,424,12,#0e0c08,19.5898,12.8801,Galaxy Zoo 2,elliptical
105670.jpg,424,424,18,#0b0c07,19.7336,11.4373,Galaxy Zoo 2,elliptical
105743.jpg,424,424,17,#0d0c08,16.4721,12.2688,Galaxy Zoo 2,elliptical
105756.jpg,424,424,23,#181a13,21.3622,25.335,Galaxy Zoo 2,elliptical
105788.jpg,424,424,16,#090905,12.1213,8.8263,Galaxy Zoo 2,elliptical
105827.jpg,424,424,12,#0f0d08,20.7666,13.5949,Galaxy Zoo 2,elliptical
105845.jpg,424,424,12,#090b07,17.9288,10.0847,Galaxy Zoo 2,elliptical
105896.jpg,424,424,12,#0e0e0a,22.3338,13.918,Galaxy Zoo 2,elliptical
105923.jpg,424,424,20,#0f0e09,23.6565,14.3701,Galaxy Zoo 2,elliptical
105924.jpg,424,424,14,#15130e,30.6358,19.5302,Galaxy Zoo 2,elliptical
105941.jpg,424,424,21,#0e0c09,21.1068,12.9414,Galaxy Zoo 2,elliptical
105997.jpg,424,424,13,#0d0b06,17.7022,11.4036,Galaxy Zoo 2,elliptical
106000.jpg,424,424,12,#0a0906,17.193,9.6966,Galaxy Zoo 2,elliptical
106001.jpg,424,424,14,#110f0d,24.8197,15.8357,Galaxy Zoo 2,elliptical
106010.jpg,424,424,18,#0f0c08,18.1247,12.7865,Galaxy Zoo 2,elliptical
106011.jpg,424,424,16,#100d09,23.8987,14.0745,Galaxy Zoo 2,elliptical
10604.jpg,424,424,17,#19120e,24.057,20.2916,Galaxy Zoo 2,elliptical
106086.jpg,424,424,19,#0b0905,15.5448,9.602,Galaxy Zoo 2,elliptical
106090.jpg,424,424,15,#090906,16.0409,9.3486,Galaxy Zoo 2,elliptical
106092.jpg,424,424,11,#231a12,38.2307,28.4277,Galaxy Zoo 2,elliptical
106172.jpg,424,424,11,#090a06,18.9853,9.5918,Galaxy Zoo 2,elliptical
1062.jpg,424,424,10,#080805,17.3787,8.399,Galaxy Zoo 2,elliptical
106202.jpg,424,424,13,#0c0906,15.535,9.8544,Galaxy Zoo 2,elliptical
106203.jpg,424,424,14,#100b08,18.8005,12.7448,Galaxy Zoo 2,elliptical
106204.jpg,424,424,18,#0b0a06,16.2671,10.1696,Galaxy Zoo 2,elliptical
106230.jpg,424,424,19,#090906,16.7175,9.1034,Galaxy Zoo 2,elliptical
106240.jpg,424,424,22,#0f0f09,19.9134,14.9981,Galaxy Zoo 2,elliptical
106261.jpg,424,424,13,#0c0906,17.9134,9.9845,Galaxy Zoo 2,elliptical
106273.jpg,424,424,13,#0d0b06,16.98,11.4759,Galaxy Zoo 2,elliptical
106286.jpg,424,424,17,#0a0805,12.6742,8.8893,Galaxy Zoo 2,elliptical
106294.jpg,424,424,18,#0b0805,14.2808,8.8364,Galaxy Zoo 2,elliptical
106368.jpg,424,424,20,#120b08,14.526,13.4768,Galaxy Zoo 2,elliptical
106455.jpg,424,424,11,#0f0b07,19.8483,12.1841,Galaxy Zoo 2,elliptical
106473.jpg,424,424,14,#0c0b06,18.6646,11.1137,Galaxy Zoo 2,elliptical
106506.jpg,424,424,11,#090907,17.439,9.365,Galaxy Zoo 2,elliptical
106559.jpg,424,424,15,#0c0804,12.6608,9.4137,Galaxy Zoo 2,elliptical
106617.jpg,424,424,15,#0a0906,19.432,9.2295,Galaxy Zoo 2,elliptical
106630.jpg,424,424,16,#0f0d07,17.9266,13.1687,Galaxy Zoo 2,elliptical
106651.jpg,424,424,15,#070905,15.8312,8.0516,Galaxy Zoo 2,elliptical
10673.jpg,424,424,14,#100d0a,27.2239,14.2033,Galaxy Zoo 2,elliptical
106766.jpg,424,424,15,#090904,14.0231,8.8711,Galaxy Zoo 2,elliptical
106822.jpg,424,424,15,#39190f,31.5877,34.0335,Galaxy Zoo 2,elliptical
106823.jpg,424,424,10,#0b0b07,21.8194,11.1171,Galaxy Zoo 2,elliptical
106859.jpg,424,424,16,#0b0c06,18.5909,11.2758,Galaxy Zoo 2,elliptical
106861.jpg,424,424,16,#090905,14.235,9.2164,Galaxy Zoo 2,elliptical
106872.jpg,424,424,14,#0c0e08,21.4991,12.8249,Galaxy Zoo 2,elliptical
106883.jpg,424,424,17,#0a0905,12.5205,9.1406,Galaxy Zoo 2,elliptical
106889.jpg,424,424,15,#0a0a08,18.6902,10.3335,Galaxy Zoo 2,elliptical
10689.jpg,424,424,19,#0b0a07,18.0633,10.4903,Galaxy Zoo 2,elliptical
106916.jpg,424,424,15,#0a0907,20.7286,9.4316,Galaxy Zoo 2,elliptical
106948.jpg,424,424,14,#110e08,23.9203,15.0377,Galaxy Zoo 2,elliptical
106964.jpg,424,424,16,#090906,17.9234,9.1118,Galaxy Zoo 2,elliptical
10697.jpg,424,424,14,#090a08,14.1441,10.2129,Galaxy Zoo 2,elliptical
106970.jpg,424,424,14,#0c0d09,25.3956,12.9099,Galaxy Zoo 2,elliptical
106977.jpg,424,424,11,#070906,17.1996,8.2964,Galaxy Zoo 2,elliptical
106980.jpg,424,424,18,#0b0a05,14.5943,10.1102,Galaxy Zoo 2,elliptical
106997.jpg,424,424,11,#0b0c07,21.5692,11.5586,Galaxy Zoo 2,elliptical
107076.jpg,424,424,15,#0f100c,22.3286,15.4194,Galaxy Zoo 2,elliptical
107079.jpg,424,424,12,#0c0b06,17.2442,11.1808,Galaxy Zoo 2,elliptical
107107.jpg,424,424,11,#080806,16.8947,8.4591,Galaxy Zoo 2,elliptical
10712.jpg,424,424,11,#0f0c08,21.4217,12.9121,Galaxy Zoo 2,elliptical
107125.jpg,424,424,10,#0b0a06,19.0115,10.3586,Galaxy Zoo 2,elliptical
107160.jpg,424,424,16,#0d0b07,16.7541,11.5645,Galaxy Zoo 2,elliptical
107185.jpg,424,424,17,#0c0a07,19.2183,10.8531,Galaxy Zoo 2,elliptical
10720.jpg,424,424,9,#0b0a07,22.7813,10.1933,Galaxy Zoo 2,elliptical
107208.jpg,424,424,12,#110d08,22.2658,14.181,Galaxy Zoo 2,elliptical
107230.jpg,424,424,10,#10100d,27.6908,16.3708,Galaxy Zoo 2,elliptical
107244.jpg,424,424,14,#0a0a05,16.4243,9.6318,Galaxy Zoo 2,elliptical
107248.jpg,424,424,13,#0d0b08,18.8524,11.5208,Galaxy Zoo 2,elliptical
107292.jpg,424,424,13,#0d0c07,19.7416,12.0081,Galaxy Zoo 2,elliptical
107301.jpg,424,424,17,#0d0d08,20.529,12.9168,Galaxy Zoo 2,elliptical
107342.jpg,424,424,17,#0b0c06,14.0646,11.5138,Galaxy Zoo 2,elliptical
107385.jpg,424,424,11,#0d0c07,21.7317,12.0649,Galaxy Zoo 2,elliptical
107412.jpg,424,424,17,#080706,15.1787,7.8478,Galaxy Zoo 2,elliptical
107418.jpg,424,424,14,#0a0906,16.4401,9.3882,Galaxy Zoo 2,elliptical
107461.jpg,424,424,11,#120f0d,29.9052,16.2154,Galaxy Zoo 2,elliptical
10751.jpg,424,424,19,#0a0a06,17.5588,9.9723,Galaxy Zoo 2,elliptical
107510.jpg,424,424,9,#0f0f0e,28.6206,15.1219,Galaxy Zoo 2,elliptical
107526.jpg,424,424,15,#080705,14.2186,7.9313,Galaxy Zoo 2,elliptical
10753.jpg,424,424,16,#090906,17.6786,9.2845,Galaxy Zoo 2,elliptical
107571.jpg,424,424,12,#0b0a08,17.3832,10.7455,Galaxy Zoo 2,elliptical
107592.jpg,424,424,11,#060605,13.4529,6.5197,Galaxy Zoo 2,elliptical
107672.jpg,424,424,15,#0b0906,19.2806,9.4874,Galaxy Zoo 2,elliptical
107731.jpg,424,424,13,#0a0906,18.0051,9.4494,Galaxy Zoo 2,elliptical
107734.jpg,424,424,11,#070704,14.5307,7.3584,Galaxy Zoo 2,elliptical
107795.jpg,424,424,9,#0b0907,21.5008,10.0877,Galaxy Zoo 2,elliptical
107805.jpg,424,424,12,#080704,15.1499,7.4235,Galaxy Zoo 2,elliptical
107817.jpg,424,424,11,#0d0c08,25.0981,12.2114,Galaxy Zoo 2,elliptical
107819.jpg,424,424,18,#160d08,23.5097,15.571,Galaxy Zoo 2,elliptical
107837.jpg,424,424,12,#080805,17.32,8.1886,Galaxy Zoo 2,elliptical
107838.jpg,424,424,21,#120906,14.0282,11.799,Galaxy Zoo 2,elliptical
107868.jpg,424,424,12,#0a0906,18.9408,9.4417,Galaxy Zoo 2,elliptical
10789.jpg,424,424,12,#0a0906,18.9172,9.7654,Galaxy Zoo 2,elliptical
107912.jpg,424,424,12,#0c0a05,17.948,10.3791,Galaxy Zoo 2,elliptical
108014.jpg,424,424,11,#080704,16.0688,7.5397,Galaxy Zoo 2,elliptical
108028.jpg,424,424,17,#080704,13.6706,7.6422,Galaxy Zoo 2,elliptical
108033.jpg,424,424,9,#070806,18.0996,7.7713,Galaxy Zoo 2,elliptical
108055.jpg,424,424,16,#070804,12.9911,7.4705,Galaxy Zoo 2,elliptical
108083.jpg,424,424,11,#080804,16.4746,7.8225,Galaxy Zoo 2,elliptical
108087.jpg,424,424,16,#0e0c0a,22.9701,13.0765,Galaxy Zoo 2,elliptical
108089.jpg,424,424,14,#080705,17.0839,7.3343,Galaxy Zoo 2,elliptical
108156.jpg,424,424,17,#0b0a07,18.032,10.7038,Galaxy Zoo 2,elliptical
108190.jpg,424,424,12,#070603,12.8054,6.6848,Galaxy Zoo 2,elliptical
108205.jpg,424,424,13,#080805,16.8587,8.3664,Galaxy Zoo 2,elliptical
108242.jpg,424,424,10,#0a0905,18.916,9.5089,Galaxy Zoo 2,elliptical
108287.jpg,424,424,12,#0b0a07,17.4565,10.2308,Galaxy Zoo 2,elliptical
108337.jpg,424,424,13,#16140c,31.6781,19.9087,Galaxy Zoo 2,elliptical
108343.jpg,424,424,13,#060603,12.5164,6.2749,Galaxy Zoo 2,elliptical
108351.jpg,424,424,10,#0d0a07,20.3361,11.3293,Galaxy Zoo 2,elliptical
108398.jpg,424,424,15,#0e0c07,17.2414,12.5555,Galaxy Zoo 2,elliptical
108432.jpg,424,424,10,#0a0906,19.1948,9.8635,Galaxy Zoo 2,elliptical
108451.jpg,424,424,11,#0d0b09,24.128,11.5495,Galaxy Zoo 2,elliptical
108490.jpg,424,424,21,#13100b,24.4182,16.9418,Galaxy Zoo 2,elliptical
108529.jpg,424,424,14,#080804,11.7669,7.834,Galaxy Zoo 2,elliptical
108532.jpg,424,424,14,#0e0c07,22.2746,12.832,Galaxy Zoo 2,elliptical
108565.jpg,424,424,11,#0a0905,16.5188,9.0292,Galaxy Zoo 2,elliptical
108588.jpg,424,424,16,#0a0805,16.8964,8.8437,Galaxy Zoo 2,elliptical
108618.jpg,424,424,11,#0e0d07,22.4986,12.7754,Galaxy Zoo 2,elliptical
108622.jpg,424,424,14,#0b0a06,16.6476,10.525,Galaxy Zoo 2,elliptical
108644.jpg,424,424,18,#0d0a06,15.8415,10.7068,Galaxy Zoo 2,elliptical
108650.jpg,424,424,14,#0b0b07,20.7288,10.8411,Galaxy Zoo 2,elliptical
108659.jpg,424,424,11,#0a0906,18.8959,9.4419,Galaxy Zoo 2,elliptical
108672.jpg,424,424,16,#090805,15.4096,8.7547,Galaxy Zoo 2,elliptical
108677.jpg,424,424,17,#0b0906,14.802,9.4792,Galaxy Zoo 2,elliptical
10874.jpg,424,424,11,#0a0908,22.2984,10.0286,Galaxy Zoo 2,elliptical
108757.jpg,424,424,11,#120e0a,29.3374,15.2065,Galaxy Zoo 2,elliptical
108782.jpg,424,424,14,#0f0c07,17.5137,12.6817,Galaxy Zoo 2,elliptical
108850.jpg,424,424,12,#180d0a,24.0591,16.6228,Galaxy Zoo 2,elliptical
108856.jpg,424,424,25,#0e0e09,15.2336,14.0198,Galaxy Zoo 2,elliptical
108861.jpg,424,424,17,#0e0c07,14.8056,12.1018,Galaxy Zoo 2,elliptical
108876.jpg,424,424,14,#0b0b08,16.7367,10.8819,Galaxy Zoo 2,elliptical
